seq=;
dia;despertar;comida;cagar;ducha;afeitar;peso;ejercicio;pajas;dormir;mood;fatiga;otros
2025-01-01;;;;;;;;;;;;
2025-01-02;;;;;;;;;;;;
2025-01-03;;;;;;;;;;;;
2025-01-04;;;;;;;;;;;;
2025-01-05;;;;;;;;;;;;
2025-01-06;;;;;;;;;;;;
2025-01-07;;;;;;;;;;;;
2025-01-08;;;;;;;;;;;;
2025-01-09;;;;;;;;;;;;
2025-01-10;08:08;bizcocho, cereales, leche, lentejas, manzana, conguitos, yatekomo, queso;(11:18,7:30,7:30), (18:45,9:00,1:30);si;no;70.0;sentadillas;(09:55, larga, real, femdom),(2:54, estandar, imaginaci�n, ruido);03:00;normal;no;
